priority,content
High,stay safe everyone thank our first responder 
Low,my heart go out everyone today watch fire condition worsen stay safe first responder resident 
Medium,downtown fort mcmurray pic 
High,mandatory evacuation notice issue fort mcmurray neighbourhood others voluntary notice 
Low,update downtown keep lock kaos update 
Medium,wood buffalo forest fire update may 
Medium,come up ll hear reporter fort mcmurray very serious very close home 
High,absolutely terrify gut wrench stuff fort mcmurray right now 
Low,trailer park now fire evacuate since sunday 
Low,nothing more useless than tell twitter your think 
Medium,smoke visible edge radar beam 
Low,ll second add mix 
High,wild video fire get close fort mcmurray 
Low,scary absolutely heartbreaking stay safe 
High,keep safe thought first responder deal horrible today 
Critical,trap abasand haven move min see flames please help 
Critical,now wall flame along highway 
High,re leave ft mac hotel down conklin lac la biche try 
Critical,wildfire backyard abasand report fire part beacon hill fire well 
Critical,serious situation unfold fort mcmurray ab wildfire approach city stay safe everyone 
Critical,how even fight 
Critical,traffic abasand jam fire get much closer all sit duck road traffic doesn move 
Low,my thought prayer go out community fort mcmurray resilient hard work people make alberta strong 
Low,update follow 
Low,more photo around enter evacuate area 
Low,reporter work safe 
Low,out control 
Low,scary thing ever see hope everyone safe take care each other 
Low,video fire intense friend stay alert stay safe out 
Low,prayer up everyone impact hope disable housebound get help evacuate 
Low,our team currently work official help house kid evacuate group home 
Low,share wildfire 
Medium,omg watch my hometown go up flame awful stay strong fort mac 
Medium,our other crew nearby close highway 
Medium,break flame now visible tree top abasand people flee 
Low,guess fort mcmurray wildfire doesn count twitter moment yet census thing 
Low,please ppl one retweet one less flame 
Medium,happen now fort mcmurray alta wildfire force more people home late 
High,scary image here everyone please find safety amp don forget your pet animal 
Low,win one road out 
Low,keep our friend colleague mind stay safe here need u 
Low,smoke cover sun mac 
Medium,well think speak everyone else just tell u how when help thinking guy safe 
Low,send all my love today heartbreaking scary situation unfold 
Low,our thought people fort mcmurray first responder work safety community 
High,wildfire go bad worse quickly heavy wind carry flames closer city 
Low,worry make article unpleasantly relevant again 
Critical,major backup prepare know today 
Medium,photo wildfire threaten fort mcmurray alberta wow 
Low,hope everybody evacuate safety out control stay safe 
Low,hop everyone stay safe fort mac while evacuate fight fire unbelievable 
Low,our backyard 
Low,prepare plan always never know when disaster strike 
Low,crazy image out fort mcmurray hop everyone get out safe 
Low,eerily quiet where people slowly get out huge lineup flame approach 
Low,horrify photograph 
High,also gas station down anzac conklin lac la biche 
Medium,our thought community fort mcmurray please follow safety update 
Low,think off all my family fort mcmurray everyone tell evacuate ahhh 
Low,hope ppl safe work 
Low,intersperse my tweet 
Medium,see clearwater inn right now 
Low,image come out form erie startle similarity one fatefull day nearly year ago 
Low,hot dry condition make tough firefighting condition 
Medium,long line gas timberlea more resident across fort mcmurray prepare evacuate necessary 
Low,thought resident first responder stay safe 
Low,re take some friend ft mac tonight thankful get out way 
Critical,break pull out beacon hill cite safety concern 
Low,know how rain dance fort mac use right now also need ready donate necessity 
Low,terrible happen northern alberta thought good people fort mcmurray hop your safety 
Low,thinking good people afternoon hope everyone stay safe 
Low,stay safe thank all men woman keep our city safe 
Low,my thought go out all fort mac today stay safe 
Medium,need see wildfire fort mcmurray 
Low,due oil sand discovery centre close until further notice stay safe 
Low,picture video come out absolutely heartbreaking hope weather shift 
Low,le feu de fort mcmurray safe everyone 
Low,ugh hang fort mac stay safe all 
Medium,scary see 
High,indian beach campground anzac available evacuee head south camp out 
Medium,across road gregoire right now 
Critical,mandatory evacuation abasand grayling terrace amp beaconhill voluntary evac part thickwood 
High,some absolutely terrifying image come out fort mcmurray now where fire gain intensity 
Medium,nightmare make get safety folk absolutely terrify 
Low,point declare state emergency 
Medium,very very smoky ground level now 
High,ominous view thickwood 
Critical,new critical alert just out province 
Medium,lot people hang around clearly see flame 
Low,pray resident fight fire stay safe god bless 
Critical,break wildfire shift fort macmurray major evacuation underway 
Low,pray safety fort mcmurray resident first responder photo unbelievable 
High,break ft macmurray fire situation now very serious 
Low,wildrose leader brian jean leave edmonton immediately fort mcmurray 
Low,my prayer out people fort mcmurray clinician our business area 
Low,stay safe fellow flatlanders scary shit 
Low,safe tell u see 
Medium,ctv news learn centennial trailer park destroy fire 
Critical,people flee neighbourhood run into wall traffic 
Low,my most heartfelt thanks firefighter work hard keep albertans safe 
Low,see fire up north 
High,pray fort mac 
Low,holy hell safe everyone 
Low,stay tune amp amp local radio update fire please safe 
Low,pack up leave location move safety 
Low,hey check out northern ab one our city real shit 
Low,please safe everyone don forget your animal need just much 
Low,story unfolds keep our news crew your thought 
Low,lot friend leave please let u know 
Low,threat severely escalate last hour 
Low,frighten image come our fort mcmurray centre stay safe 
Low,stepmom just texted me pic msg leave town some scary pic come out 
Low,know firsthand how hard leave your home amp community my thought amp prayer everyone 
